MIT,num_events,mean_event_duration,mean_event_depth,mean_event_rain_rate,mean_gap_between_events
1,100,100,100,100,100
2,79.2013311,125.4645042,126.5029009,100.8276615,171.2186728
3,69.5507488,145.3545586,143.9050767,99.0027998,222.634474
6,54.5757072,193.5602006,178.7713599,92.3595753,337.815517
12,40.4326123,301.85487,243.3382946,80.6143643,508.5123534
24,26.9550749,564.6673636,359.1737124,63.6080336,769.1293403
