Daily ETo (Reference grass) (mm),time
0.38,2020-11-21
0.88,2020-11-22
0.56,2020-11-23
0.51,2020-11-24
0.85,2020-11-25
0.32,2020-11-26
0.27,2020-11-27
0.41,2020-11-28
0.16,2020-11-29
0.2,2020-11-30
0.25,2020-12-05
0.27,2020-12-06
0.25,2020-12-07
0.31,2020-12-08
0.3,2020-12-09
0.26,2020-12-10
0.26,2020-12-11
0.23,2020-12-12
0.24,2020-12-13
0.35,2020-12-14
0.47,2020-12-18
0.3,2020-12-19
0.53,2020-12-20
0.33,2020-12-21
0.1,2020-12-23
0.03,2020-12-24
0.3,2020-12-25
0.24,2020-12-26
0.65,2020-12-27
0.15,2020-12-28
0.12,2020-12-30
0.03,2020-12-31
0.01,2021-01-01
0.26,2021-01-02
0.16,2021-01-03
0.1,2021-01-04
0.14,2021-01-05
0.12,2021-01-06
0.05,2021-01-07
0.1,2021-01-08
0.14,2021-01-09
0.3,2021-01-10
0.2,2021-01-11
0.4,2021-01-12
0.12,2021-01-13
0.12,2021-01-16
0.31,2021-01-17
0.39,2021-01-18
0.32,2021-01-19
0.41,2021-01-22
0.23,2021-01-23
0.24,2021-01-26
0.04,2021-01-30
0.01,2021-01-31
0.36,2021-02-09
0.33,2021-02-10
0.0,2021-02-11
0.01,2021-02-12
0.08,2021-02-13
0.45,2021-02-14
0.37,2021-02-15
0.2,2021-02-16
0.61,2021-02-17
0.79,2021-02-18
0.86,2021-02-19
0.93,2021-02-24
0.78,2021-02-25
1.01,2021-02-26
0.71,2021-02-27
0.79,2021-02-28
0.47,2021-03-01
0.13,2021-03-02
0.25,2021-03-03
0.22,2021-03-04
0.55,2021-03-05
0.84,2021-03-10
0.88,2021-03-11
1.48,2021-03-12
1.48,2021-03-13
1.1,2021-03-14
1.01,2021-03-15
1.13,2021-03-16
1.55,2021-03-17
1.08,2021-03-18
0.92,2021-03-19
0.61,2021-03-20
1.37,2021-03-21
1.34,2021-03-22
1.5,2021-03-23
1.47,2021-03-24
1.9,2021-03-25
1.4,2021-03-26
1.95,2021-03-27
1.63,2021-03-28
1.96,2021-03-29
1.94,2021-03-30
2.07,2021-03-31
0.6,2021-04-01
1.08,2021-04-02
1.09,2021-04-03
1.64,2021-04-04
1.57,2021-04-05
1.99,2021-04-06
1.72,2021-04-07
1.33,2021-04-08
1.49,2021-04-09
1.07,2021-04-10
0.89,2021-04-11
1.32,2021-04-12
1.36,2021-04-13
0.82,2021-04-14
1.67,2021-04-15
1.69,2021-04-16
1.8,2021-04-17
1.84,2021-04-18
1.61,2021-04-19
2.11,2021-04-20
1.66,2021-04-21
1.83,2021-04-22
2.23,2021-04-23
2.26,2021-04-24
2.14,2021-04-25
2.09,2021-04-26
1.42,2021-04-27
0.76,2021-04-28
