Duration hours,Duration days,1 year rainfall (mm),2 year rainfall (mm),3 year rainfall (mm),4 year rainfall (mm),5 year rainfall (mm),6 year rainfall (mm),7 year rainfall (mm),8 year rainfall (mm),9 year rainfall (mm),10 year rainfall (mm),11 year rainfall (mm),12 year rainfall (mm),13 year rainfall (mm),14 year rainfall (mm),15 year rainfall (mm),16 year rainfall (mm),17 year rainfall (mm),18 year rainfall (mm),19 year rainfall (mm),20 year rainfall (mm),30 year rainfall (mm),50 year rainfall (mm),75 year rainfall (mm),100 year rainfall (mm),150 year rainfall (mm),200 year rainfall (mm),500 year rainfall (mm),1000 year rainfall (mm),10000 year rainfall (mm)
6,0.25,21.33,26.44,29.49,31.69,33.41,34.83,36.04,37.1,38.04,38.89,39.28,40.01,40.69,41.32,41.91,42.46,42.98,43.47,43.93,44.58,48.03,52.57,56.34,59.13,63.27,66.39,77.64,87.83,130.42
6.25,0.260416667,21.69,26.84,29.91,32.12,33.85,35.28,36.5,37.57,38.52,39.37,39.76,40.5,41.18,41.82,42.41,42.96,43.48,43.98,44.44,45.1,48.57,53.15,56.95,59.77,63.96,67.11,78.51,88.84,131.71
6.5,0.270833333,22.04,27.23,30.32,32.54,34.28,35.72,36.95,38.02,38.97,39.83,40.22,40.97,41.66,42.3,42.89,43.45,43.97,44.47,44.94,45.6,49.1,53.71,57.55,60.39,64.62,67.81,79.37,89.83,132.97
6.75,0.28125,22.38,27.6,30.71,32.94,34.7,36.14,37.38,38.46,39.42,40.28,40.68,41.43,42.12,42.76,43.36,43.92,44.45,44.95,45.42,46.09,49.61,54.26,58.13,60.99,65.27,68.5,80.2,90.79,134.2
7,0.291666667,22.72,27.97,31.09,33.34,35.1,36.56,37.8,38.89,39.85,40.72,41.12,41.87,42.57,43.21,43.82,44.38,44.91,45.41,45.89,46.56,50.11,54.79,58.69,61.58,65.9,69.17,81.02,91.74,135.4
7.25,0.302083333,23.04,28.32,31.47,33.72,35.49,36.96,38.21,39.3,40.27,41.15,41.54,42.3,43,43.65,44.26,44.83,45.36,45.87,46.34,47.02,50.6,55.31,59.24,62.16,66.53,69.83,81.83,92.67,136.57
7.5,0.3125,23.35,28.67,31.83,34.1,35.88,37.35,38.61,39.71,40.68,41.56,41.96,42.73,43.43,44.08,44.69,45.26,45.8,46.31,46.79,47.47,51.07,55.82,59.78,62.73,67.14,70.48,82.62,93.58,137.71
7.75,0.322916667,23.66,29,32.18,34.46,36.25,37.73,38.99,40.1,41.08,41.96,42.37,43.14,43.84,44.5,45.11,45.69,46.23,46.74,47.22,47.91,51.54,56.32,60.31,63.28,67.73,71.11,83.4,94.48,138.84
8,0.333333333,23.95,29.33,32.52,34.81,36.61,38.1,39.37,40.48,41.47,42.36,42.76,43.54,44.25,44.91,45.52,46.1,46.64,47.16,47.65,48.34,51.99,56.8,60.83,63.82,68.32,71.74,84.17,95.36,139.93
8.25,0.34375,24.24,29.65,32.86,35.16,36.97,38.46,39.74,40.86,41.85,42.74,43.15,43.93,44.64,45.31,45.93,46.51,47.05,47.57,48.06,48.76,52.44,57.28,61.33,64.35,68.9,72.35,84.92,96.23,141.01
8.5,0.354166667,24.52,29.96,33.18,35.5,37.31,38.81,40.1,41.22,42.22,43.12,43.53,44.31,45.03,45.69,46.32,46.9,47.45,47.97,48.47,49.16,52.87,57.75,61.83,64.88,69.46,72.95,85.66,97.08,142.06
8.75,0.364583333,24.8,30.26,33.5,35.83,37.65,39.16,40.45,41.58,42.59,43.49,43.9,44.68,45.4,46.08,46.7,47.29,47.84,48.36,48.86,49.56,53.29,58.2,62.32,65.39,70.02,73.55,86.4,97.92,143.1
9,0.375,25.07,30.56,33.81,36.15,37.98,39.5,40.8,41.93,42.94,43.85,44.26,45.05,45.77,46.45,47.08,47.67,48.22,48.75,49.25,49.96,53.71,58.65,62.8,65.9,70.57,74.13,87.12,98.75,144.11
9.25,0.385416667,25.33,30.85,34.12,36.46,38.3,39.83,41.13,42.27,43.29,44.2,44.61,45.4,46.13,46.81,47.44,48.04,48.6,49.13,49.63,50.34,54.12,59.09,63.27,66.39,71.11,74.71,87.83,99.56,145.11
9.5,0.395833333,25.59,31.13,34.41,36.77,38.62,40.15,41.46,42.61,43.63,44.54,44.96,45.75,46.49,47.17,47.8,48.4,48.96,49.49,50,50.72,54.52,59.53,63.73,66.88,71.64,75.27,88.53,100.36,146.09
9.75,0.40625,25.84,31.41,34.71,37.07,38.93,40.47,41.79,42.94,43.96,44.88,45.3,46.1,46.83,47.52,48.16,48.76,49.32,49.86,50.37,51.09,54.91,59.95,64.19,67.36,72.17,75.84,89.23,101.16,147.06
10,0.416666667,26.09,31.68,34.99,37.37,39.23,40.78,42.1,43.26,44.29,45.21,45.63,46.43,47.17,47.86,48.5,49.11,49.67,50.21,50.72,51.45,55.3,60.37,64.63,67.83,72.68,76.39,89.91,101.94,148.01
10.25,0.427083333,26.33,31.94,35.27,37.66,39.53,41.08,42.41,43.57,44.61,45.53,45.96,46.76,47.51,48.2,48.84,49.45,50.02,50.56,51.08,51.8,55.68,60.78,65.08,68.3,73.19,76.93,90.59,102.71,148.94
10.5,0.4375,26.56,32.2,35.54,37.94,39.82,41.38,42.72,43.88,44.92,45.85,46.28,47.09,47.83,48.53,49.18,49.79,50.36,50.9,51.42,52.15,56.05,61.19,65.51,68.76,73.7,77.47,91.26,103.47,149.86
10.75,0.447916667,26.79,32.46,35.81,38.22,40.11,41.67,43.01,44.19,45.23,46.16,46.59,47.4,48.16,48.85,49.51,50.12,50.69,51.24,51.76,52.5,56.41,61.59,65.94,69.22,74.2,78.01,91.92,104.22,150.76
11,0.458333333,27.02,32.71,36.07,38.49,40.39,41.96,43.31,44.48,45.53,46.47,46.9,47.72,48.47,49.17,49.83,50.44,51.02,51.57,52.09,52.83,56.77,61.98,66.36,69.66,74.69,78.53,92.57,104.96,151.66
11.25,0.46875,27.24,32.95,36.33,38.76,40.66,42.24,43.59,44.78,45.83,46.77,47.2,48.02,48.78,49.49,50.14,50.76,51.34,51.9,52.42,53.17,57.13,62.36,66.78,70.11,75.17,79.05,93.22,105.7,152.53
11.5,0.479166667,27.46,33.19,36.59,39.02,40.93,42.52,43.88,45.06,46.12,47.07,47.5,48.32,49.09,49.79,50.46,51.08,51.66,52.22,52.74,53.49,57.48,62.74,67.19,70.54,75.65,79.57,93.86,106.42,153.4
11.75,0.489583333,27.68,33.43,36.84,39.28,41.2,42.79,44.15,45.35,46.4,47.36,47.79,48.62,49.39,50.1,50.76,51.39,51.97,52.53,53.06,53.81,57.82,63.12,67.6,70.98,76.13,80.08,94.49,107.14,154.26
12,0.5,27.89,33.66,37.08,39.53,41.46,43.06,44.43,45.62,46.69,47.64,48.08,48.91,49.68,50.4,51.06,51.69,52.28,52.84,53.37,54.13,58.16,63.49,68,71.4,76.6,80.58,95.12,107.85,155.1
12.25,0.510416667,28.09,33.89,37.32,39.78,41.72,43.32,44.69,45.89,46.96,47.92,48.36,49.2,49.97,50.69,51.36,51.99,52.58,53.15,53.68,54.44,58.49,63.85,68.4,71.83,77.07,81.09,95.74,108.55,155.94
12.5,0.520833333,28.29,34.11,37.56,40.03,41.97,43.58,44.96,46.16,47.23,48.2,48.64,49.48,50.25,50.98,51.65,52.28,52.88,53.45,53.98,54.75,58.81,64.21,68.79,72.25,77.53,81.59,96.36,109.25,156.76
12.75,0.53125,28.49,34.33,37.79,40.27,42.22,43.83,45.21,46.42,47.5,48.47,48.91,49.75,50.53,51.26,51.94,52.57,53.17,53.74,54.28,55.05,59.14,64.57,69.18,72.66,77.99,82.08,96.97,109.93,157.58
13,0.541666667,28.69,34.54,38.02,40.51,42.46,44.08,45.47,46.68,47.76,48.73,49.18,50.03,50.81,51.54,52.22,52.86,53.46,54.03,54.58,55.35,59.45,64.92,69.56,73.07,78.45,82.57,97.57,110.61,158.38
13.25,0.552083333,28.88,34.75,38.24,40.74,42.7,44.33,45.72,46.94,48.02,48.99,49.44,50.29,51.08,51.81,52.5,53.14,53.75,54.32,54.87,55.64,59.76,65.26,69.94,73.48,78.9,83.06,98.17,111.29,159.18
13.5,0.5625,29.07,34.96,38.46,40.97,42.94,44.57,45.96,47.19,48.27,49.25,49.7,50.56,51.35,52.09,52.77,53.42,54.03,54.61,55.15,55.93,60.07,65.61,70.32,73.88,79.35,83.54,98.77,111.95,159.96
13.75,0.572916667,29.25,35.17,38.68,41.2,43.17,44.81,46.21,47.43,48.52,49.51,49.96,50.82,51.61,52.35,53.04,53.69,54.31,54.88,55.44,56.22,60.38,65.94,70.69,74.28,79.79,84.01,99.35,112.61,160.73
14,0.583333333,29.44,35.37,38.89,41.42,43.4,45.04,46.45,47.68,48.77,49.76,50.21,51.08,51.87,52.62,53.31,53.96,54.58,55.16,55.71,56.5,60.68,66.28,71.06,74.68,80.23,84.49,99.93,113.26,161.5
14.25,0.59375,29.62,35.57,39.1,41.64,43.63,45.27,46.68,47.92,49.01,50.01,50.46,51.33,52.13,52.88,53.58,54.23,54.85,55.43,55.99,56.78,60.98,66.61,71.42,75.07,80.66,84.96,100.51,113.9,162.26
14.5,0.604166667,29.79,35.76,39.31,41.85,43.85,45.5,46.92,48.15,49.26,50.25,50.71,51.58,52.39,53.13,53.84,54.49,55.11,55.7,56.26,57.05,61.27,66.94,71.78,75.46,81.09,85.42,101.08,114.54,163
14.75,0.614583333,29.97,35.95,39.52,42.07,44.07,45.73,47.15,48.39,49.49,50.49,50.95,51.83,52.64,53.39,54.09,54.75,55.38,55.97,56.53,57.32,61.56,67.26,72.14,75.84,81.52,85.88,101.65,115.17,163.74
