Duration hours,Duration days,1 year rainfall (mm),2 year rainfall (mm),3 year rainfall (mm),4 year rainfall (mm),5 year rainfall (mm),6 year rainfall (mm),7 year rainfall (mm),8 year rainfall (mm),9 year rainfall (mm),10 year rainfall (mm),11 year rainfall (mm),12 year rainfall (mm),13 year rainfall (mm),14 year rainfall (mm),15 year rainfall (mm),16 year rainfall (mm),17 year rainfall (mm),18 year rainfall (mm),19 year rainfall (mm),20 year rainfall (mm),30 year rainfall (mm),50 year rainfall (mm),75 year rainfall (mm),100 year rainfall (mm),150 year rainfall (mm),200 year rainfall (mm),500 year rainfall (mm),1000 year rainfall (mm),10000 year rainfall (mm)
25.5,1.0625,35.64,42.29,46.26,49.16,51.45,53.34,54.96,56.39,57.66,58.81,59.33,60.34,61.28,62.16,62.97,63.75,64.48,65.17,65.84,66.79,71.92,79.03,85.26,90.05,97.38,102.95,122.2,137.47,189.32
25.75,1.072916667,35.74,42.41,46.39,49.29,51.59,53.48,55.11,56.54,57.81,58.97,59.5,60.51,61.45,62.33,63.15,63.92,64.66,65.36,66.02,66.97,72.13,79.27,85.53,90.34,97.71,103.3,122.61,137.9,189.82
26,1.083333333,35.85,42.52,46.51,49.42,51.72,53.63,55.26,56.69,57.97,59.12,59.66,60.67,61.61,62.49,63.32,64.1,64.84,65.54,66.21,67.16,72.34,79.51,85.8,90.64,98.03,103.65,123.01,138.33,190.31
26.25,1.09375,35.95,42.64,46.64,49.55,51.86,53.77,55.4,56.84,58.12,59.28,59.81,60.83,61.78,62.66,63.49,64.27,65.01,65.71,66.39,67.34,72.54,79.75,86.07,90.93,98.36,103.99,123.41,138.76,190.79
26.5,1.104166667,36.05,42.75,46.76,49.68,52,53.91,55.55,56.99,58.28,59.44,59.97,61,61.94,62.83,63.66,64.44,65.19,65.89,66.57,67.53,72.75,79.99,86.34,91.22,98.68,104.34,123.81,139.19,191.27
26.75,1.114583333,36.15,42.86,46.88,49.81,52.13,54.05,55.69,57.14,58.43,59.59,60.13,61.16,62.11,63,63.83,64.62,65.36,66.07,66.75,67.71,72.95,80.22,86.61,91.51,99,104.68,124.2,139.61,191.75
27,1.125,36.25,42.98,47,49.94,52.26,54.19,55.84,57.29,58.58,59.75,60.29,61.32,62.27,63.16,64,64.79,65.53,66.24,66.92,67.89,73.16,80.46,86.88,91.8,99.32,105.02,124.59,140.03,192.22
27.25,1.135416667,36.35,43.09,47.13,50.07,52.4,54.33,55.98,57.43,58.73,59.9,60.44,61.47,62.43,63.32,64.16,64.96,65.71,66.42,67.1,68.07,73.36,80.69,87.14,92.09,99.64,105.36,124.98,140.44,192.69
27.5,1.145833333,36.45,43.2,47.24,50.2,52.53,54.46,56.12,57.58,58.88,60.05,60.6,61.63,62.59,63.49,64.33,65.12,65.88,66.59,67.28,68.25,73.56,80.93,87.4,92.37,99.95,105.69,125.37,140.85,193.16
27.75,1.15625,36.54,43.31,47.36,50.32,52.66,54.6,56.26,57.72,59.03,60.21,60.75,61.79,62.75,63.65,64.49,65.29,66.05,66.76,67.45,68.43,73.76,81.16,87.66,92.65,100.27,106.03,125.75,141.26,193.62
28,1.166666667,36.64,43.42,47.48,50.45,52.79,54.74,56.4,57.86,59.17,60.36,60.9,61.94,62.91,63.81,64.66,65.46,66.22,66.94,67.63,68.61,73.96,81.39,87.92,92.94,100.58,106.36,126.13,141.67,194.08
28.25,1.177083333,36.74,43.53,47.6,50.57,52.92,54.87,56.54,58.01,59.32,60.51,61.05,62.1,63.07,63.97,64.82,65.62,66.38,67.11,67.8,68.79,74.16,81.62,88.18,93.22,100.89,106.69,126.51,142.07,194.54
28.5,1.1875,36.83,43.64,47.72,50.69,53.05,55,56.68,58.15,59.46,60.65,61.2,62.25,63.22,64.13,64.98,65.79,66.55,67.28,67.97,68.96,74.36,81.85,88.44,93.5,101.2,107.01,126.88,142.47,194.99
28.75,1.197916667,36.93,43.75,47.83,50.82,53.18,55.14,56.81,58.29,59.61,60.8,61.35,62.4,63.38,64.29,65.15,65.95,66.72,67.45,68.14,69.14,74.55,82.07,88.69,93.77,101.5,107.34,127.25,142.87,195.44
29,1.208333333,37.02,43.85,47.95,50.94,53.3,55.27,56.95,58.43,59.75,60.95,61.5,62.55,63.53,64.45,65.31,66.12,66.88,67.61,68.31,69.31,74.75,82.3,88.95,94.05,101.81,107.66,127.62,143.26,195.89
29.25,1.21875,37.11,43.96,48.06,51.06,53.43,55.4,57.09,58.57,59.9,61.1,61.65,62.71,63.69,64.6,65.46,66.28,67.05,67.78,68.48,69.49,74.94,82.52,89.2,94.32,102.11,107.99,127.99,143.65,196.33
29.5,1.229166667,37.21,44.06,48.17,51.18,53.56,55.53,57.22,58.71,60.04,61.24,61.8,62.86,63.84,64.76,65.62,66.44,67.21,67.95,68.65,69.66,75.13,82.75,89.45,94.6,102.41,108.31,128.35,144.04,196.77
29.75,1.239583333,37.3,44.17,48.29,51.3,53.68,55.66,57.36,58.85,60.18,61.39,61.94,63,63.99,64.91,65.78,66.6,67.37,68.11,68.82,69.83,75.32,82.97,89.7,94.87,102.71,108.62,128.72,144.43,197.2
30,1.25,37.39,44.27,48.4,51.42,53.81,55.79,57.49,58.98,60.32,61.53,62.09,63.15,64.14,65.07,65.94,66.76,67.54,68.28,68.99,70,75.52,83.19,89.95,95.14,103.01,108.94,129.07,144.81,197.64
30.25,1.260416667,37.48,44.38,48.51,51.53,53.93,55.92,57.62,59.12,60.46,61.67,62.23,63.3,64.29,65.22,66.09,66.92,67.7,68.44,69.15,70.17,75.71,83.41,90.2,95.41,103.31,109.25,129.43,145.19,198.06
30.5,1.270833333,37.57,44.48,48.62,51.65,54.05,56.04,57.75,59.25,60.6,61.82,62.37,63.45,64.44,65.37,66.25,67.08,67.86,68.6,69.32,70.34,75.89,83.63,90.45,95.67,103.6,109.56,129.79,145.57,198.49
30.75,1.28125,37.66,44.58,48.73,51.77,54.17,56.17,57.88,59.39,60.74,61.96,62.52,63.59,64.59,65.53,66.4,67.23,68.02,68.77,69.48,70.51,76.08,83.85,90.69,95.94,103.89,109.87,130.14,145.94,198.91
31,1.291666667,37.75,44.68,48.84,51.89,54.3,56.3,58.01,59.52,60.87,62.1,62.66,63.74,64.74,65.68,66.56,67.39,68.18,68.93,69.65,70.67,76.27,84.07,90.94,96.2,104.19,110.18,130.49,146.31,199.33
31.25,1.302083333,37.84,44.78,48.95,52,54.42,56.42,58.14,59.66,61.01,62.24,62.8,63.88,64.89,65.83,66.71,67.54,68.33,69.09,69.81,70.84,76.46,84.28,91.18,96.47,104.47,110.49,130.83,146.68,199.75
31.5,1.3125,37.93,44.89,49.06,52.12,54.54,56.55,58.27,59.79,61.15,62.38,62.94,64.03,65.03,65.98,66.86,67.7,68.49,69.25,69.97,71,76.64,84.5,91.42,96.73,104.76,110.79,131.18,147.05,200.17
31.75,1.322916667,38.02,44.99,49.17,52.23,54.66,56.67,58.4,59.92,61.28,62.51,63.08,64.17,65.18,66.13,67.01,67.85,68.65,69.4,70.13,71.17,76.83,84.71,91.66,96.99,105.05,111.1,131.52,147.41,200.58
32,1.333333333,38.11,45.08,49.28,52.34,54.78,56.79,58.53,60.05,61.42,62.65,63.22,64.31,65.33,66.27,67.16,68.01,68.8,69.56,70.29,71.33,77.01,84.92,91.9,97.25,105.33,111.4,131.86,147.78,200.98
32.25,1.34375,38.19,45.18,49.38,52.46,54.89,56.92,58.65,60.18,61.55,62.79,63.36,64.45,65.47,66.42,67.31,68.16,68.96,69.72,70.45,71.5,77.19,85.13,92.14,97.51,105.62,111.7,132.2,148.14,201.39
32.5,1.354166667,38.28,45.28,49.49,52.57,55.01,57.04,58.78,60.31,61.68,62.93,63.5,64.59,65.61,66.57,67.46,68.31,69.11,69.88,70.61,71.66,77.37,85.35,92.38,97.76,105.9,112,132.53,148.49,201.79
32.75,1.364583333,38.37,45.38,49.59,52.68,55.13,57.16,58.91,60.44,61.82,63.06,63.64,64.73,65.76,66.71,67.61,68.46,69.27,70.03,70.77,71.82,77.56,85.56,92.62,98.02,106.18,112.29,132.87,148.85,202.19
33,1.375,38.45,45.48,49.7,52.79,55.24,57.28,59.03,60.57,61.95,63.2,63.77,64.87,65.9,66.86,67.76,68.61,69.42,70.19,70.93,71.98,77.74,85.76,92.85,98.27,106.46,112.59,133.2,149.2,202.59
33.25,1.385416667,38.54,45.57,49.8,52.9,55.36,57.4,59.15,60.7,62.08,63.33,63.91,65.01,66.04,67,67.91,68.76,69.57,70.34,71.08,72.14,77.92,85.97,93.08,98.53,106.74,112.88,133.53,149.55,202.98
33.5,1.395833333,38.62,45.67,49.91,53.01,55.47,57.52,59.28,60.82,62.21,63.46,64.04,65.15,66.18,67.15,68.05,68.91,69.72,70.5,71.24,72.3,78.09,86.18,93.32,98.78,107.01,113.17,133.85,149.9,203.38
33.75,1.40625,38.71,45.77,50.01,53.12,55.59,57.64,59.4,60.95,62.34,63.6,64.18,65.29,66.32,67.29,68.2,69.06,69.87,70.65,71.39,72.46,78.27,86.39,93.55,99.03,107.28,113.46,134.18,150.24,203.76
34,1.416666667,38.79,45.86,50.11,53.23,55.7,57.76,59.52,61.08,62.47,63.73,64.31,65.43,66.46,67.43,68.34,69.2,70.02,70.8,71.55,72.62,78.45,86.59,93.78,99.28,107.56,113.75,134.5,150.58,204.15
34.25,1.427083333,38.87,45.96,50.22,53.34,55.82,57.88,59.64,61.2,62.6,63.86,64.44,65.56,66.6,67.57,68.49,69.35,70.17,70.95,71.7,72.77,78.62,86.79,94.01,99.52,107.83,114.03,134.82,150.92,204.53
34.5,1.4375,38.95,46.05,50.32,53.45,55.93,57.99,59.77,61.33,62.72,63.99,64.58,65.7,66.74,67.71,68.63,69.5,70.32,71.1,71.86,72.93,78.8,87,94.24,99.77,108.1,114.32,135.14,151.26,204.92
34.75,1.447916667,39.04,46.14,50.42,53.55,56.04,58.11,59.89,61.45,62.85,64.12,64.71,65.83,66.88,67.85,68.77,69.64,70.47,71.25,72.01,73.09,78.97,87.2,94.46,100.02,108.37,114.6,135.46,151.6,205.29
35,1.458333333,39.12,46.24,50.52,53.66,56.15,58.23,60.01,61.57,62.98,64.25,64.84,65.97,67.01,67.99,68.92,69.79,70.61,71.4,72.16,73.24,79.15,87.4,94.69,100.26,108.63,114.88,135.77,151.93,205.67
35.25,1.46875,39.2,46.33,50.62,53.77,56.27,58.34,60.13,61.7,63.1,64.38,64.97,66.1,67.15,68.13,69.06,69.93,70.76,71.55,72.31,73.4,79.32,87.6,94.91,100.5,108.9,115.16,136.08,152.26,206.04
35.5,1.479166667,39.28,46.42,50.72,53.87,56.38,58.46,60.24,61.82,63.23,64.51,65.1,66.23,67.29,68.27,69.2,70.07,70.91,71.7,72.46,73.55,79.49,87.8,95.14,100.74,109.16,115.44,136.4,152.59,206.41
35.75,1.489583333,39.36,46.51,50.82,53.98,56.49,58.57,60.36,61.94,63.36,64.64,65.23,66.37,67.42,68.41,69.34,70.22,71.05,71.85,72.61,73.7,79.67,88,95.36,100.98,109.43,115.72,136.7,152.92,206.78
36,1.5,39.44,46.61,50.92,54.08,56.6,58.68,60.48,62.06,63.48,64.77,65.36,66.5,67.56,68.55,69.48,70.36,71.2,71.99,72.76,73.85,79.84,88.2,95.58,101.22,109.69,115.99,137.01,153.25,207.15
36.25,1.510416667,39.52,46.7,51.02,54.19,56.71,58.8,60.6,62.18,63.6,64.89,65.49,66.63,67.69,68.68,69.62,70.5,71.34,72.14,72.91,74.01,80.01,88.39,95.8,101.46,109.95,116.27,137.32,153.57,207.51
36.5,1.520833333,39.6,46.79,51.12,54.29,56.81,58.91,60.71,62.3,63.73,65.02,65.62,66.76,67.82,68.82,69.76,70.64,71.48,72.29,73.06,74.16,80.18,88.59,96.02,101.7,110.21,116.54,137.62,153.89,207.88
36.75,1.53125,39.68,46.88,51.21,54.4,56.92,59.02,60.83,62.42,63.85,65.15,65.74,66.89,67.96,68.95,69.89,70.78,71.63,72.43,73.2,74.31,80.34,88.79,96.24,101.94,110.46,116.81,137.92,154.21,208.23
37,1.541666667,39.76,46.97,51.31,54.5,57.03,59.14,60.95,62.54,63.97,65.27,65.87,67.02,68.09,69.09,70.03,70.92,71.77,72.57,73.35,74.46,80.51,88.98,96.46,102.17,110.72,117.08,138.22,154.53,208.59
37.25,1.552083333,39.84,47.06,51.41,54.6,57.14,59.25,61.06,62.66,64.09,65.4,66,67.15,68.22,69.22,70.17,71.06,71.91,72.72,73.5,74.61,80.68,89.17,96.68,102.4,110.98,117.35,138.52,154.84,208.95
37.5,1.5625,39.91,47.15,51.51,54.7,57.24,59.36,61.18,62.78,64.21,65.52,66.12,67.28,68.35,69.36,70.31,71.2,72.05,72.86,73.64,74.76,80.85,89.37,96.89,102.64,111.23,117.61,138.81,155.16,209.3
37.75,1.572916667,39.99,47.23,51.6,54.8,57.35,59.47,61.29,62.9,64.34,65.64,66.25,67.41,68.48,69.49,70.44,71.34,72.19,73,73.79,74.9,81.01,89.56,97.11,102.87,111.48,117.88,139.11,155.47,209.65
38,1.583333333,40.07,47.32,51.7,54.91,57.46,59.58,61.4,63.01,64.46,65.77,66.37,67.53,68.61,69.62,70.58,71.48,72.33,73.15,73.93,75.05,81.18,89.75,97.32,103.1,111.73,118.14,139.4,155.78,210
38.25,1.59375,40.15,47.41,51.79,55.01,57.56,59.69,61.52,63.13,64.58,65.89,66.5,67.66,68.74,69.76,70.71,71.61,72.47,73.29,74.07,75.2,81.34,89.94,97.54,103.33,111.98,118.4,139.69,156.09,210.34
38.5,1.604166667,40.22,47.5,51.89,55.11,57.67,59.8,61.63,63.25,64.69,66.01,66.62,67.79,68.87,69.89,70.84,71.75,72.61,73.43,74.22,75.34,81.51,90.13,97.75,103.56,112.23,118.67,139.98,156.39,210.69
38.75,1.614583333,40.3,47.59,51.98,55.21,57.77,59.91,61.74,63.36,64.81,66.13,66.74,67.91,69,70.02,70.98,71.89,72.75,73.57,74.36,75.49,81.67,90.32,97.96,103.78,112.48,118.92,140.27,156.7,211.03
39,1.625,40.37,47.67,52.07,55.31,57.87,60.01,61.85,63.48,64.93,66.25,66.87,68.04,69.13,70.15,71.11,72.02,72.89,73.71,74.5,75.63,81.83,90.51,98.17,104.01,112.72,119.18,140.55,157,211.37
39.25,1.635416667,40.45,47.76,52.17,55.4,57.98,60.12,61.96,63.59,65.05,66.38,66.99,68.16,69.26,70.28,71.24,72.16,73.02,73.85,74.64,75.78,81.99,90.69,98.38,104.24,112.97,119.44,140.84,157.3,211.71
39.5,1.645833333,40.52,47.84,52.26,55.5,58.08,60.23,62.08,63.7,65.17,66.5,67.11,68.29,69.38,70.41,71.38,72.29,73.16,73.99,74.78,75.92,82.15,90.88,98.59,104.46,113.21,119.7,141.12,157.6,212.04
39.75,1.65625,40.6,47.93,52.35,55.6,58.18,60.34,62.19,63.82,65.28,66.62,67.23,68.41,69.51,70.54,71.51,72.42,73.3,74.13,74.92,76.07,82.32,91.07,98.8,104.68,113.46,119.95,141.4,157.9,212.38
40,1.666666667,40.67,48.01,52.45,55.7,58.29,60.44,62.3,63.93,65.4,66.73,67.35,68.53,69.63,70.67,71.64,72.56,73.43,74.26,75.06,76.21,82.48,91.25,99,104.9,113.7,120.2,141.68,158.19,212.71
40.25,1.677083333,40.75,48.1,52.54,55.8,58.39,60.55,62.4,64.04,65.52,66.85,67.47,68.66,69.76,70.79,71.77,72.69,73.57,74.4,75.2,76.35,82.64,91.43,99.21,105.13,113.94,120.45,141.96,158.49,213.04
40.5,1.6875,40.82,48.18,52.63,55.89,58.49,60.65,62.51,64.16,65.63,66.97,67.59,68.78,69.89,70.92,71.9,72.82,73.7,74.54,75.34,76.49,82.79,91.62,99.41,105.35,114.18,120.71,142.24,158.78,213.37
40.75,1.697916667,40.9,48.27,52.72,55.99,58.59,60.76,62.62,64.27,65.75,67.09,67.71,68.9,70.01,71.05,72.03,72.95,73.83,74.67,75.48,76.63,82.95,91.8,99.62,105.57,114.41,120.95,142.51,159.07,213.69
41,1.708333333,40.97,48.35,52.81,56.09,58.69,60.86,62.73,64.38,65.86,67.21,67.83,69.02,70.13,71.18,72.16,73.09,73.97,74.81,75.62,76.77,83.11,91.98,99.82,105.78,114.65,121.2,142.78,159.36,214.02
41.25,1.71875,41.04,48.43,52.9,56.18,58.79,60.97,62.84,64.49,65.97,67.32,67.95,69.14,70.26,71.3,72.29,73.22,74.1,74.94,75.76,76.91,83.27,92.16,100.02,106,114.89,121.45,143.06,159.64,214.34
41.5,1.729166667,41.11,48.52,52.99,56.28,58.89,61.07,62.95,64.6,66.09,67.44,68.06,69.26,70.38,71.43,72.41,73.35,74.23,75.08,75.89,77.05,83.42,92.34,100.22,106.22,115.12,121.69,143.33,159.93,214.66
41.75,1.739583333,41.19,48.6,53.08,56.37,58.99,61.17,63.05,64.71,66.2,67.56,68.18,69.38,70.5,71.55,72.54,73.48,74.37,75.21,76.03,77.19,83.58,92.52,100.43,106.43,115.35,121.94,143.59,160.21,214.98
42,1.75,41.26,48.68,53.17,56.47,59.09,61.28,63.16,64.82,66.31,67.67,68.3,69.5,70.63,71.68,72.67,73.61,74.5,75.35,76.16,77.33,83.73,92.7,100.63,106.65,115.59,122.18,143.86,160.49,215.29
42.25,1.760416667,41.33,48.77,53.26,56.56,59.19,61.38,63.27,64.93,66.43,67.79,68.42,69.62,70.75,71.8,72.79,73.73,74.63,75.48,76.3,77.47,83.89,92.88,100.82,106.86,115.82,122.42,144.13,160.78,215.61
42.5,1.770833333,41.4,48.85,53.35,56.66,59.29,61.48,63.37,65.04,66.54,67.9,68.53,69.74,70.87,71.93,72.92,73.86,74.76,75.61,76.43,77.61,84.04,93.06,101.02,107.07,116.05,122.66,144.39,161.05,215.92
42.75,1.78125,41.47,48.93,53.44,56.75,59.39,61.58,63.48,65.15,66.65,68.02,68.65,69.86,70.99,72.05,73.05,73.99,74.89,75.74,76.57,77.75,84.2,93.24,101.22,107.28,116.28,122.9,144.65,161.33,216.23
43,1.791666667,41.54,49.01,53.52,56.84,59.48,61.69,63.58,65.26,66.76,68.13,68.76,69.98,71.11,72.17,73.17,74.12,75.02,75.88,76.7,77.88,84.35,93.41,101.42,107.5,116.5,123.14,144.92,161.61,216.54
43.25,1.802083333,41.61,49.09,53.61,56.94,59.58,61.79,63.69,65.36,66.87,68.24,68.88,70.1,71.23,72.29,73.3,74.25,75.15,76.01,76.84,78.02,84.5,93.59,101.61,107.71,116.73,123.38,145.18,161.88,216.85
43.5,1.8125,41.68,49.17,53.7,57.03,59.68,61.89,63.79,65.47,66.98,68.36,68.99,70.21,71.35,72.42,73.42,74.37,75.28,76.14,76.97,78.15,84.65,93.76,101.81,107.91,116.96,123.62,145.43,162.15,217.16
43.75,1.822916667,41.75,49.25,53.79,57.12,59.78,61.99,63.89,65.58,67.09,68.47,69.11,70.33,71.47,72.54,73.55,74.5,75.4,76.27,77.1,78.29,84.81,93.94,102,108.12,117.18,123.85,145.69,162.43,217.46
44,1.833333333,41.82,49.33,53.87,57.21,59.87,62.09,64,65.69,67.2,68.58,69.22,70.45,71.59,72.66,73.67,74.62,75.53,76.4,77.23,78.42,84.96,94.11,102.19,108.33,117.41,124.08,145.95,162.7,217.76
44.25,1.84375,41.89,49.41,53.96,57.3,59.97,62.19,64.1,65.79,67.31,68.69,69.33,70.56,71.71,72.78,73.79,74.75,75.66,76.53,77.36,78.56,85.11,94.29,102.39,108.54,117.63,124.32,146.2,162.96,218.06
44.5,1.854166667,41.96,49.49,54.05,57.4,60.06,62.29,64.2,65.9,67.42,68.81,69.45,70.68,71.82,72.9,73.91,74.87,75.79,76.66,77.49,78.69,85.26,94.46,102.58,108.74,117.85,124.55,146.46,163.23,218.36
44.75,1.864583333,42.03,49.57,54.13,57.49,60.16,62.39,64.31,66,67.53,68.92,69.56,70.79,71.94,73.02,74.04,75,75.91,76.79,77.63,78.82,85.41,94.63,102.77,108.95,118.07,124.78,146.71,163.5,218.66
45,1.875,42.1,49.65,54.22,57.58,60.25,62.48,64.41,66.11,67.64,69.03,69.67,70.91,72.06,73.14,74.16,75.12,76.04,76.91,77.76,78.96,85.55,94.8,102.96,109.15,118.29,125.01,146.96,163.76,218.96
45.25,1.885416667,42.17,49.73,54.3,57.67,60.35,62.58,64.51,66.21,67.74,69.14,69.78,71.02,72.18,73.26,74.28,75.25,76.17,77.04,77.88,79.09,85.7,94.97,103.15,109.35,118.51,125.24,147.21,164.02,219.25
45.5,1.895833333,42.23,49.8,54.39,57.76,60.44,62.68,64.61,66.32,67.85,69.25,69.89,71.14,72.29,73.38,74.4,75.37,76.29,77.17,78.01,79.22,85.85,95.14,103.34,109.55,118.73,125.46,147.46,164.29,219.54
45.75,1.90625,42.3,49.88,54.47,57.85,60.54,62.78,64.71,66.42,67.96,69.36,70,71.25,72.41,73.5,74.52,75.49,76.42,77.3,78.14,79.35,86,95.31,103.53,109.75,118.94,125.69,147.7,164.55,219.84
46,1.916666667,42.37,49.96,54.56,57.94,60.63,62.88,64.81,66.52,68.06,69.47,70.12,71.36,72.52,73.61,74.64,75.61,76.54,77.42,78.27,79.48,86.14,95.48,103.71,109.96,119.16,125.91,147.95,164.8,220.12
46.25,1.927083333,42.44,50.04,54.64,58.03,60.72,62.97,64.91,66.63,68.17,69.58,70.23,71.48,72.64,73.73,74.76,75.74,76.66,77.55,78.4,79.62,86.29,95.65,103.9,110.15,119.38,126.14,148.19,165.06,220.41
46.5,1.9375,42.5,50.11,54.72,58.11,60.82,63.07,65.01,66.73,68.28,69.68,70.34,71.59,72.75,73.85,74.88,75.86,76.79,77.67,78.53,79.75,86.43,95.81,104.09,110.35,119.59,126.36,148.44,165.32,220.7
46.75,1.947916667,42.57,50.19,54.81,58.2,60.91,63.17,65.11,66.83,68.38,69.79,70.45,71.7,72.87,73.97,75,75.98,76.91,77.8,78.65,79.88,86.58,95.98,104.27,110.55,119.8,126.58,148.68,165.57,220.98
47,1.958333333,42.64,50.27,54.89,58.29,61,63.26,65.21,66.94,68.49,69.9,70.55,71.81,72.98,74.08,75.12,76.1,77.03,77.92,78.78,80.01,86.72,96.15,104.46,110.75,120.01,126.8,148.92,165.82,221.27
47.25,1.96875,42.7,50.34,54.97,58.38,61.09,63.36,65.31,67.04,68.59,70.01,70.66,71.92,73.1,74.2,75.24,76.22,77.16,78.05,78.91,80.13,86.87,96.31,104.64,110.94,120.23,127.02,149.16,166.08,221.55
47.5,1.979166667,42.77,50.42,55.06,58.47,61.18,63.45,65.41,67.14,68.7,70.11,70.77,72.03,73.21,74.31,75.36,76.34,77.28,78.17,79.03,80.26,87.01,96.48,104.82,111.14,120.44,127.24,149.4,166.33,221.83
47.75,1.989583333,42.84,50.5,55.14,58.55,61.28,63.55,65.51,67.24,68.8,70.22,70.88,72.14,73.32,74.43,75.47,76.46,77.4,78.3,79.16,80.39,87.16,96.64,105.01,111.33,120.64,127.46,149.63,166.58,222.11
48,2,42.9,50.57,55.22,58.64,61.37,63.64,65.61,67.34,68.9,70.33,70.99,72.25,73.44,74.54,75.59,76.58,77.52,78.42,79.28,80.52,87.3,96.81,105.19,111.53,120.85,127.68,149.87,166.82,222.39
48.25,2.010416667,42.97,50.65,55.3,58.73,61.46,63.74,65.7,67.44,69.01,70.44,71.1,72.37,73.55,74.66,75.71,76.7,77.64,78.54,79.41,80.65,87.44,96.97,105.37,111.72,121.06,127.89,150.1,167.07,222.67
48.5,2.020833333,43.03,50.72,55.38,58.81,61.55,63.83,65.8,67.54,69.11,70.54,71.2,72.48,73.66,74.77,75.82,76.82,77.76,78.66,79.53,80.77,87.58,97.13,105.55,111.91,121.27,128.11,150.34,167.32,222.94
48.75,2.03125,43.09,50.79,55.46,58.9,61.64,63.93,65.9,67.64,69.22,70.65,71.31,72.59,73.77,74.89,75.94,76.94,77.88,78.79,79.66,80.9,87.73,97.3,105.73,112.1,121.47,128.32,150.57,167.56,223.22
49,2.041666667,43.16,50.87,55.55,58.99,61.73,64.02,66,67.75,69.32,70.75,71.42,72.7,73.89,75,76.06,77.06,78,78.91,79.78,81.03,87.87,97.46,105.91,112.29,121.67,128.53,150.81,167.81,223.49
49.25,2.052083333,43.22,50.94,55.63,59.07,61.82,64.11,66.09,67.85,69.42,70.86,71.52,72.8,74,75.12,76.17,77.17,78.12,79.03,79.91,81.15,88.01,97.62,106.09,112.48,121.88,128.74,151.04,168.05,223.76
49.5,2.0625,43.29,51.02,55.71,59.16,61.91,64.21,66.19,67.94,69.52,70.96,71.63,72.91,74.11,75.23,76.29,77.29,78.24,79.15,80.03,81.28,88.15,97.78,106.26,112.67,122.08,128.95,151.27,168.29,224.03
49.75,2.072916667,43.35,51.09,55.79,59.24,62,64.3,66.29,68.04,69.63,71.07,71.74,73.02,74.22,75.34,76.4,77.41,78.36,79.27,80.15,81.41,88.29,97.94,106.44,112.86,122.28,129.16,151.5,168.53,224.3
50,2.083333333,43.41,51.16,55.87,59.33,62.09,64.39,66.38,68.14,69.73,71.17,71.84,73.13,74.33,75.46,76.52,77.53,78.48,79.4,80.27,81.53,88.43,98.1,106.62,113.05,122.48,129.37,151.72,168.77,224.57
50.25,2.09375,43.48,51.24,55.95,59.41,62.18,64.48,66.48,68.24,69.83,71.28,71.95,73.24,74.44,75.57,76.63,77.64,78.6,79.52,80.4,81.66,88.57,98.26,106.79,113.23,122.68,129.58,151.95,169,224.83
50.5,2.104166667,43.54,51.31,56.02,59.49,62.26,64.58,66.57,68.34,69.93,71.38,72.05,73.35,74.55,75.68,76.75,77.76,78.72,79.64,80.52,81.78,88.71,98.42,106.97,113.42,122.88,129.79,152.17,169.24,225.1
50.75,2.114583333,43.6,51.38,56.1,59.58,62.35,64.67,66.67,68.44,70.03,71.49,72.16,73.45,74.66,75.79,76.86,77.87,78.84,79.76,80.64,81.9,88.84,98.58,107.14,113.6,123.08,129.99,152.4,169.48,225.36
51,2.125,43.67,51.45,56.18,59.66,62.44,64.76,66.76,68.54,70.13,71.59,72.26,73.56,74.77,75.9,76.98,77.99,78.95,79.87,80.76,82.03,88.98,98.74,107.31,113.78,123.27,130.19,152.62,169.71,225.62
51.25,2.135416667,43.73,51.53,56.26,59.75,62.53,64.85,66.86,68.63,70.23,71.69,72.37,73.67,74.88,76.02,77.09,78.11,79.07,79.99,80.88,82.15,89.12,98.89,107.49,113.97,123.47,130.4,152.84,169.94,225.88
51.5,2.145833333,43.79,51.6,56.34,59.83,62.61,64.94,66.95,68.73,70.33,71.79,72.47,73.77,74.99,76.13,77.2,78.22,79.19,80.11,81,82.27,89.26,99.05,107.66,114.15,123.66,130.6,153.06,170.17,226.14
51.75,2.15625,43.85,51.67,56.42,59.91,62.7,65.03,67.05,68.83,70.43,71.9,72.58,73.88,75.1,76.24,77.31,78.33,79.3,80.23,81.12,82.4,89.39,99.21,107.83,114.33,123.86,130.8,153.28,170.4,226.4
52,2.166666667,43.91,51.74,56.5,60,62.79,65.12,67.14,68.93,70.53,72,72.68,73.99,75.2,76.35,77.43,78.45,79.42,80.35,81.24,82.52,89.53,99.36,108,114.51,124.05,131,153.5,170.63,226.66
52.25,2.177083333,43.98,51.81,56.57,60.08,62.88,65.21,67.23,69.02,70.63,72.1,72.78,74.09,75.31,76.46,77.54,78.56,79.54,80.47,81.36,82.64,89.66,99.52,108.17,114.69,124.24,131.2,153.72,170.86,226.91
52.5,2.1875,44.04,51.89,56.65,60.16,62.96,65.3,67.33,69.12,70.73,72.2,72.88,74.2,75.42,76.57,77.65,78.68,79.65,80.58,81.48,82.76,89.8,99.67,108.34,114.87,124.43,131.4,153.94,171.09,227.17
